#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Mantenimiento de aparatos elevadores,151,21303,10/10/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - AGOSTO. MANTENIMIENTO APARATOS ELEVADORES C/EL POTRO, 21 - APROBADA POR DECRETO 2338/2016 - NUMERO DE FAC.: 2016/000001/003871 DE FECHA OPERACION: 27/09/2016 Y FECHA REG. INTERVENCIÓN: 09/09/2016",66.11,0
Mantenimiento de aparatos elevadores,151,21303,03/11/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MANTENIMIENTO ASCENSORES C/ EL POTRO - SEPTIEMBRE - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 2016/000001/004307 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 10/10/2016 Y DECRETO DE PAGO Nº 2562/2016,66.11,0
Mantenimiento de aparatos elevadores,151,21303,02/12/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - OCTUBRE. MANTENIMIENTO APARATOS ELEVADORES C/EL POTRO, 21 - APROBADA POR DECRETO 2828/2016 - NUMERO DE FAC.: 2016/000001/004987 DE FECHA OPERACION: 22/11/2016 Y FECHA REG. INTERVENCIÓN: 09/11/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2829/2016",66.11,0
Mantenimiento de aparatos elevadores,151,21303,29/12/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXPTE 32/12 MANTENIMIENTO ELEVADORES CALLE POTRO 21 NOVIEMBRE 2016 - APROBADA POR DECRETO 3126/2016 - NUMERO DE FAC.: 2016/000001/005429 DE FECHA OPERACION: 22/12/2016 Y FECHA REG. INTERVENCIÓN: 05/12/2016,66.11,0
Mantenimiento de aparatos elevadores,231,21303,03/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ENERO. MANTENIMIENTO APARATOS ELEVADORES C/NAVALCARNERO, 16- APROBADA POR DECRETO 473/2016 - NUMERO DE FAC.: 2016/000001/000586 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 09/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO 474/2016",23.68,0
Mantenimiento de aparatos elevadores,231,21303,31/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - FEBRERO MANTENIMEINTO APARATOS ELEVADORES C/ ANAVALCARNERO 16 -  - APROBADA POR DECRETO 753/2016 - NUMERO DE FAC.: 2016/000001/000926 DE FECHA OPERACION: 22/03/2016 Y FECHA REG. INTERVENCIÓN: 07/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 754/2016,23.68,0
Mantenimiento de aparatos elevadores,231,21303,20/04/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - MES DE MARZO MANTENIMIENTO APARATOS ELEVADORES C, NAVALCARNERO,16 - APROBADA POR DECRETO 946/2016 - NUMERO DE FAC.: 2016/000001/001363 DE FECHA OPERACION: 11/04/2016 Y FECHA REG. INTERVENCIÓN: 05/04/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 947/2016",23.68,0
Mantenimiento de aparatos elevadores,231,21303,25/05/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ABRIL -  MANTENIMIENTO APARATOS ELEVADORES C/ NAVALCARNERO, 16 - APROBADA POR DECRETO 1301/2016 - NUMERO DE FAC.: 2016/000001/002013 DE FECHA OPERACION: 16/05/2016 Y FECHA REG. INTERVENCIÓN: 06/05/2016 Y DECRETO DE ORDENACIÓN  DEL PAGO Nº 1302/2016",23.68,0
Mantenimiento de aparatos elevadores,231,21303,30/06/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MAYO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ NAVALCARNERO - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 2016/000001/002405 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,23.68,0
Mantenimiento de aparatos elevadores,231,21303,01/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - JUNIO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ NAVALCARNERO - APROBADA POR DECRETO 1849/2016 - NUMERO DE FAC.: 2016/000001/002826 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 06/07/2016 Y DECRETO PAGO 1850/2016,23.68,0
Mantenimiento de aparatos elevadores,231,21303,26/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXPTE. 32/12. JULIO. MANTENIMIENTO APARATOS ELEVADORES C/NAVALCARNERO, 16 - APROBADO POR DECRETO 2090/2016 - NUMERO DE FAC.: 2016/000001/003459 DE FECHA OPERACION: 18/08/2016 Y FECHA REG. INTERVENCIÓN: 08/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2091/2016",23.68,0
Mantenimiento de aparatos elevadores,231,21303,10/10/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - AGOSTO. MANTENIMIENTO APARATOS ELEVADORES C/NAVALCARNERO, 16 - APROBADA POR DECRETO 2338/2016 - NUMERO DE FAC.: 2016/000001/003866 DE FECHA OPERACION: 27/09/2016 Y FECHA REG. INTERVENCIÓN: 09/09/2016",23.68,0
Mantenimiento de aparatos elevadores,231,21303,03/11/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MANTENIMIENTO ASCENSORES - C/ NAVALCARNERO - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 2016/000001/004302 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 10/10/2016 Y DECRETO DE PAGO Nº 2562/2016,23.68,0
Mantenimiento de aparatos elevadores,231,21303,02/12/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - OCTUBRE. MANTENIMIENTO APARATOS ELEVADORES C/NAVALCARNERO, 16  - APROBADA POR DECRETO 2828/2016 - NUMERO DE FAC.: 2016/000001/004982 DE FECHA OPERACION: 22/11/2016 Y FECHA REG. INTERVENCIÓN: 09/11/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2829/2016",23.68,0
Mantenimiento de aparatos elevadores,231,21303,29/12/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXPTE 32/12 MANTENIMIENTO ELEVADORES CALLE NAVALCARNERO 16 NOVIEMBRE 2016 - APROBADA POR DECRETO 3126/2016 - NUMERO DE FAC.: 2016/000001/005424 DE FECHA OPERACION: 22/12/2016 Y FECHA REG. INTERVENCIÓN: 05/12/2016,23.68,0
Mantenimiento de aparatos elevadores,320,21303,03/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ENERO. MANTENIMIENTO APARATOS ELEVADORES C/SERRANILLOS, 6- APROBADA POR DECRETO 473/2016 - NUMERO DE FAC.: 2016/000001/000587 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 09/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO 474/2016",142.3,0
Mantenimiento de aparatos elevadores,320,21303,03/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ENERO. MANTENIMIENTO APARATOS ELEVADORES C/ANDALUCIA, 8- APROBADA POR DECRETO 473/2016 - NUMERO DE FAC.: 2016/000001/000589 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 09/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO 474/2016",76.18,0
Mantenimiento de aparatos elevadores,320,21303,03/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ENERO. MANTENIMIENTO APARATOS ELEVADORES C/CARTAGENA, 9- APROBADA POR DECRETO 473/2016 - NUMERO DE FAC.: 2016/000001/000588 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 09/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO 474/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,03/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ENERO. MANTENIMIENTO APARATOS ELEVADORES C/BARCELONA, 19- APROBADA POR DECRETO 473/2016 - NUMERO DE FAC.: 2016/000001/000590 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 09/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO 474/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,31/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - FEBRERO MANTENIMEINTO APARATOS ELEVADORES COLEGIO LAS CASTAÑERAS, C/ ANDALUCIA, 8  - APROBADA POR DECRETO 753/2016 - NUMERO DE FAC.: 2016/000001/000929 DE FECHA OPERACION: 22/03/2016 Y FECHA REG. INTERVENCIÓN: 07/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 754/2016",76.18,0
Mantenimiento de aparatos elevadores,320,21303,31/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - FEBRERO MANTGENIMIENTO APARATOS ELEVADORES C/ SERRANILLOS, 6 COLEGIO EL TORREON  - APROBADA POR DECRETO 753/2016 - NUMERO DE FAC.: 2016/000001/000927 DE FECHA OPERACION: 22/03/2016 Y FECHA REG. INTERVENCIÓN: 07/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 754/2016",142.3,0
Mantenimiento de aparatos elevadores,320,21303,31/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - FEBRERO MANTENIMIENTO APARATOS ELEVADORES C/ CARTAGENA, 9 COLEGIO LEGAZPI  - APROBADA POR DECRETO 753/2016 - NUMERO DE FAC.: 2016/000001/000928 DE FECHA OPERACION: 22/03/2016 Y FECHA REG. INTERVENCIÓN: 07/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 754/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,31/03/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - FEBREREO MANTENIMIENTO APARATOS ELEVADORES C/ BARCELONA, 19 COLEGIO FRANCISCO DE ORELLANA  - APROBADA POR DECRETO 753/2016 - NUMERO DE FAC.: 2016/000001/000930 DE FECHA OPERACION: 22/03/2016 Y FECHA REG. INTERVENCIÓN: 07/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 754/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,20/04/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - MES DE MARZO, MANTENIMIENTO APARATOS ELEVADORES C/ SERRANILLOS, 6, COLEGIO EL TORREON - APROBADA POR DECRETO 946/2016 - NUMERO DE FAC.: 2016/000001/001364 DE FECHA OPERACION: 11/04/2016 Y FECHA REG. INTERVENCIÓN: 05/04/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 947/2016",142.3,0
Mantenimiento de aparatos elevadores,320,21303,20/04/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - MES DE MARZO MANTENIMIENTO APARATOS ELEVADORES  C/ BARCELONA, 19, COLEGIO FCO. DE ORELLANA - APROBADA POR DECRETO 946/2016 - NUMERO DE FAC.: 2016/000001/001367 DE FECHA OPERACION: 11/04/2016 Y FECHA REG. INTERVENCIÓN: 05/04/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 947/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,20/04/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - MES DE MARZO MANTENIMIENTO APARATOS ELEVADORES C/ CARTAGENA,9  COLEGIO LEGAZPI - APROBADA POR DECRETO 946/2016 - NUMERO DE FAC.: 2016/000001/001365 DE FECHA OPERACION: 11/04/2016 Y FECHA REG. INTERVENCIÓN: 05/04/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 947/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,20/04/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - MES DE MARZO MANTENIMEINTO APARATOS ELEVADORES C/ ANDALUCIA, 8 - COLEGIO LAS CASTAÑERAS - APROBADA POR DECRETO 946/2016 - NUMERO DE FAC.: 2016/000001/001366 DE FECHA OPERACION: 11/04/2016 Y FECHA REG. INTERVENCIÓN: 05/04/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 947/2016",76.18,0
Mantenimiento de aparatos elevadores,320,21303,25/05/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ABRIL - MANTENIMIENTO APARATOS ELEVADORES C/ ANDALUCIA, 8 COLEGIO LAS CASTAÑERAS - APROBADA POR DECRETO 1301/2016 - NUMERO DE FAC.: 2016/000001/002016 DE FECHA OPERACION: 16/05/2016 Y FECHA REG. INTERVENCIÓN: 06/05/2016 Y DECRETO DE ORDENACIÓN  DEL PAGO Nº 1302/2016",76.18,0
Mantenimiento de aparatos elevadores,320,21303,25/05/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ABRIL - MANTENIMIENTO APARATOS ELEVADORES C/ CARTAGENA, 9 COLEGIO LEGAZPI - APROBADA POR DECRETO 1301/2016 - NUMERO DE FAC.: 2016/000001/002015 DE FECHA OPERACION: 16/05/2016 Y FECHA REG. INTERVENCIÓN: 06/05/2016 Y DECRETO DE ORDENACIÓN  DEL PAGO Nº 1302/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,25/05/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ABRIL -  MANTENIMIENTO APARATOS ELEVADORES COLEGIO EL TORREON C/ SERRANILLOS, 6 - APROBADA POR DECRETO 1301/2016 - NUMERO DE FAC.: 2016/000001/002014 DE FECHA OPERACION: 16/05/2016 Y FECHA REG. INTERVENCIÓN: 06/05/2016 Y DECRETO DE ORDENACIÓN  DEL PAGO Nº 1302/2016",142.3,0
Mantenimiento de aparatos elevadores,320,21303,25/05/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - ABRIL - MANTENIMIENTO APARATOS ELEVADORES C/ BARCELONA, 19 COLEGIO FCO. DE ORELLANA - APROBADA POR DECRETO 1301/2016 - NUMERO DE FAC.: 2016/000001/002017 DE FECHA OPERACION: 16/05/2016 Y FECHA REG. INTERVENCIÓN: 06/05/2016 Y DECRETO DE ORDENACIÓN  DEL PAGO Nº 1302/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,30/06/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MAYO 2016 - 2º PRORROGA - MANTNIMIENTO APARATOS ELEVADORES C/ BARCELONA - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 2016/000001/002409 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,66.11,0
Mantenimiento de aparatos elevadores,320,21303,30/06/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MAYO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ SERRANILLOS - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 2016/000001/002406 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,142.3,0
Mantenimiento de aparatos elevadores,320,21303,30/06/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MAYO 2016 - 2ª PRORROGA-  MANTENIMIENTO APARATOS ELEVADORES - C/ ANDALUCIA - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 2016/000001/002408 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,76.18,0
Mantenimiento de aparatos elevadores,320,21303,30/06/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MAYO 2016 - 2ª PRORROGA -  MANTENIMIENTO APARATOS ELEVADORES - C/ CARTAGENA - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 2016/000001/002407 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,66.11,0
Mantenimiento de aparatos elevadores,320,21303,01/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - JUNIO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ BARCELONA - APROBADA POR DECRETO 1849/2016 - NUMERO DE FAC.: 2016/000001/002830 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 06/07/2016 Y DECRETO PAGO 1850/2016,66.11,0
Mantenimiento de aparatos elevadores,320,21303,01/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - JUNIO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ SERRANILLOS - APROBADA POR DECRETO 1849/2016 - NUMERO DE FAC.: 2016/000001/002827 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 06/07/2016 Y DECRETO PAGO 1850/2016,142.3,0
Mantenimiento de aparatos elevadores,320,21303,01/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - JUNIO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ ANDALUCIA - APROBADA POR DECRETO 1849/2016 - NUMERO DE FAC.: 2016/000001/002829 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 06/07/2016 Y DECRETO PAGO 1850/2016,76.18,0
Mantenimiento de aparatos elevadores,320,21303,01/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - JUNIO 2016 - 2ª PRORROGA - MANTENIMIENTO APARATOS ELEVADORES - C/ CARTAGENA - APROBADA POR DECRETO 1849/2016 - NUMERO DE FAC.: 2016/000001/002828 DE FECHA OPERACION: 18/07/2016 Y FECHA REG. INTERVENCIÓN: 06/07/2016,66.11,0
Mantenimiento de aparatos elevadores,320,21303,26/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXPTE. 32/12. JULIO. MANTENIMIENTO APARATOS ELEVADORES C/BARCELONA, 19 - APROBADO POR DECRETO 2090/2016 - NUMERO DE FAC.: 2016/000001/003463 DE FECHA OPERACION: 18/08/2016 Y FECHA REG. INTERVENCIÓN: 08/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2091/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,26/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXPTE. 32/12. JULIO. MANTENIMIENTO APARATOS ELEVADORES C/SERRANILLOS, 6- APROBADO POR DECRETO 2090/2016 - NUMERO DE FAC.: 2016/000001/003460 DE FECHA OPERACION: 18/08/2016 Y FECHA REG. INTERVENCIÓN: 08/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2091/2016",142.3,0
Mantenimiento de aparatos elevadores,320,21303,26/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXPTE. 32/12. JULIO. MANTENIMIENTO APARATOS ELEVADORES C/CARTAGENA, 9 - APROBADO POR DECRETO 2090/2016 - NUMERO DE FAC.: 2016/000001/003461 DE FECHA OPERACION: 18/08/2016 Y FECHA REG. INTERVENCIÓN: 08/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2091/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,26/08/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXPTE. 32/12. JULIO. MANTENIMIENTO APARATOS ELEVADORES C/ANDALUCIA, 8 - APROBADO POR DECRETO 2090/2016 - NUMERO DE FAC.: 2016/000001/003462 DE FECHA OPERACION: 18/08/2016 Y FECHA REG. INTERVENCIÓN: 08/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2091/2016",76.18,0
Mantenimiento de aparatos elevadores,320,21303,10/10/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - AGOSTO. MANTENIMIENTO APARATOS ELEVADORES C/ANDALUCIA, 8 - APROBADA POR DECRETO 2338/2016 - NUMERO DE FAC.: 2016/000001/003869 DE FECHA OPERACION: 27/09/2016 Y FECHA REG. INTERVENCIÓN: 09/09/2016",76.18,0
Mantenimiento de aparatos elevadores,320,21303,10/10/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - AGOSTO. MANTENIMIENTO APARATOS ELEVADORES C/BARCELONA, 19 - APROBADA POR DECRETO 2338/2016 - NUMERO DE FAC.: 2016/000001/003870 DE FECHA OPERACION: 27/09/2016 Y FECHA REG. INTERVENCIÓN: 09/09/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,10/10/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - AGOSTO. MANTENIMIENTO APARATOS ELEVADORES C/SERRANILLOS, 6 - APROBADA POR DECRETO 2338/2016 - NUMERO DE FAC.: 2016/000001/003867 DE FECHA OPERACION: 27/09/2016 Y FECHA REG. INTERVENCIÓN: 09/09/2016",142.3,0
Mantenimiento de aparatos elevadores,320,21303,10/10/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - AGOSTO. MANTENIMIENTO APARATOS ELEVADORES C/CARTAGENA, 9 - APROBADA POR DECRETO 2338/2016 - NUMERO DE FAC.: 2016/000001/003868 DE FECHA OPERACION: 27/09/2016 Y FECHA REG. INTERVENCIÓN: 09/09/2016",66.11,0
Mantenimiento de aparatos elevadores,320,21303,03/11/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MANTENIMIENTO ASECENSORES C/ BARCELONA - SEPTIEMBRE - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 2016/000001/004306 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 10/10/2016 Y DECRETO DE PAGO Nº 2562/2016,66.11,0
Mantenimiento de aparatos elevadores,320,21303,03/11/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MANTENIMIENTO ASCENSORES C/ SERRANILLOS - SEPTIEMBRE -  - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 2016/000001/004303 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 10/10/2016 Y DECRETO DE PAGO Nº 2562/2016,142.3,0
Mantenimiento de aparatos elevadores,320,21303,03/11/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 - MANTENIMIENTO ASCENSORES C/ CARTAGENA - SEPTIEMBRE - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 2016/000001/004304 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 10/10/2016 Y DECRETO DE PAGO Nº 2562/2016,66.11,0
Mantenimiento de aparatos elevadores,320,21303,03/11/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.",EXP 32/12 MANTENIMIENTO ASCENSORES C/ ANDALUCIA - SEPTIEMBRE  - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 2016/000001/004305 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 10/10/2016 Y DECRETO DE PAGO Nº 2562/2016,76.18,0
Mantenimiento de aparatos elevadores,320,21303,02/12/2016,B91410456,"MAC PUAR ASCENSORES.,S.L.","EXP 32/12 - OCTUBRE. MANTENIMIENTO APARATOS ELEVADORES C/ANDALUCIA, 8 - APROBADA POR DECRETO 2828/2016 - NUMERO DE FAC.: 2016/000001/004985 DE FECHA OPERACION: 22/11/2016 Y FECHA REG. INTERVENCIÓN: 09/11/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2829/2016",76.18,0
